YEAR,WEATHER_CONDITION,PRIM_CONTRIBUTORY_CAUSE,COUNT
2017,CLEAR,"EVASIVE ACTION DUE TO ANIMAL, OBJECT, NONMOTORIST",148
2017,CLEAR,EXCEEDING AUTHORIZED SPEED LIMIT,553
2017,CLEAR,EXCEEDING SAFE SPEED FOR CONDITIONS,217
2017,CLEAR,FAILING TO REDUCE SPEED TO AVOID CRASH,2483
2017,CLEAR,FAILING TO YIELD RIGHT-OF-WAY,8069
2017,CLEAR,FOLLOWING TOO CLOSELY,8084
2017,CLEAR,HAD BEEN DRINKING (USE WHEN ARREST IS NOT MADE),79
2017,CLEAR,IMPROPER BACKING,3216
2017,CLEAR,IMPROPER LANE USAGE,2888
2017,CLEAR,IMPROPER OVERTAKING/PASSING,3329
2017,CLEAR,IMPROPER TURNING/NO SIGNAL,2206
2017,CLEAR,MOTORCYCLE ADVANCING LEGALLY ON RED LIGHT,3
2017,CLEAR,NOT APPLICABLE,3305
2017,CLEAR,"OPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS, NEGLIGENT OR AGGRESSIVE MANNER",791
2017,CLEAR,PASSING STOPPED SCHOOL BUS,7
2017,CLEAR,PHYSICAL CONDITION OF DRIVER,385
2017,CLEAR,ROAD CONSTRUCTION/MAINTENANCE,178
2017,CLEAR,ROAD ENGINEERING/SURFACE/MARKING DEFECTS,178
2017,CLEAR,TEXTING,42
2017,CLEAR,TURNING RIGHT ON RED,46
2017,CLEAR,UNABLE TO DETERMINE,24502
2017,CLEAR,UNDER THE INFLUENCE OF ALCOHOL/DRUGS (USE WHEN ARREST IS EFFECTED),306
2017,CLEAR,"VISION OBSCURED (SIGNS, TREE LIMBS, BUILDINGS, ETC.)",406
2017,CLEAR,WEATHER,122
2017,CLOUDY/OVERCAST,ANIMAL,1
2017,CLOUDY/OVERCAST,CELL PHONE USE OTHER THAN TEXTING,7
2017,CLOUDY/OVERCAST,DISREGARDING OTHER TRAFFIC SIGNS,5
2017,CLOUDY/OVERCAST,DISREGARDING ROAD MARKINGS,5
2017,CLOUDY/OVERCAST,DISREGARDING STOP SIGN,27
2017,CLOUDY/OVERCAST,DISREGARDING TRAFFIC SIGNALS,40
2017,CLOUDY/OVERCAST,DISTRACTION - FROM INSIDE VEHICLE,30
2017,CLOUDY/OVERCAST,DISTRACTION - FROM OUTSIDE VEHICLE,12
2017,CLOUDY/OVERCAST,"DISTRACTION - OTHER ELECTRONIC DEVICE (NAVIGATION DEVICE, DVD PLAYER, ETC.)",1
2017,CLOUDY/OVERCAST,DRIVING ON WRONG SIDE/WRONG WAY,10
2017,CLOUDY/OVERCAST,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,82
2017,CLOUDY/OVERCAST,EQUIPMENT - VEHICLE CONDITION,26
2017,CLOUDY/OVERCAST,"EVASIVE ACTION DUE TO ANIMAL, OBJECT, NONMOTORIST",3
2017,CLOUDY/OVERCAST,EXCEEDING AUTHORIZED SPEED LIMIT,15
2017,CLOUDY/OVERCAST,EXCEEDING SAFE SPEED FOR CONDITIONS,19
2017,CLOUDY/OVERCAST,FAILING TO REDUCE SPEED TO AVOID CRASH,106
2017,CLOUDY/OVERCAST,FAILING TO YIELD RIGHT-OF-WAY,338
2017,CLOUDY/OVERCAST,FOLLOWING TOO CLOSELY,304
2017,CLOUDY/OVERCAST,HAD BEEN DRINKING (USE WHEN ARREST IS NOT MADE),1
2017,CLOUDY/OVERCAST,IMPROPER BACKING,115
2017,CLOUDY/OVERCAST,IMPROPER LANE USAGE,98
2017,CLOUDY/OVERCAST,IMPROPER OVERTAKING/PASSING,126
2017,CLOUDY/OVERCAST,IMPROPER TURNING/NO SIGNAL,87
2017,CLOUDY/OVERCAST,NOT APPLICABLE,53
2017,CLOUDY/OVERCAST,"OPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS, NEGLIGENT OR AGGRESSIVE MANNER",34
2017,CLOUDY/OVERCAST,PASSING STOPPED SCHOOL BUS,1
2017,CLOUDY/OVERCAST,PHYSICAL CONDITION OF DRIVER,13
2017,CLOUDY/OVERCAST,ROAD CONSTRUCTION/MAINTENANCE,6
2017,CLOUDY/OVERCAST,ROAD ENGINEERING/SURFACE/MARKING DEFECTS,4
2017,CLOUDY/OVERCAST,TEXTING,1
2017,CLOUDY/OVERCAST,TURNING RIGHT ON RED,3
2017,CLOUDY/OVERCAST,UNABLE TO DETERMINE,664
2017,CLOUDY/OVERCAST,UNDER THE INFLUENCE OF ALCOHOL/DRUGS (USE WHEN ARREST IS EFFECTED),10
2017,CLOUDY/OVERCAST,"VISION OBSCURED (SIGNS, TREE LIMBS, BUILDINGS, ETC.)",32
2017,CLOUDY/OVERCAST,WEATHER,15
2017,FOG/SMOKE/HAZE,ANIMAL,1
2017,FOG/SMOKE/HAZE,CELL PHONE USE OTHER THAN TEXTING,1
2017,FOG/SMOKE/HAZE,DISREGARDING STOP SIGN,1
2017,FOG/SMOKE/HAZE,DISREGARDING TRAFFIC SIGNALS,1
2017,FOG/SMOKE/HAZE,DISTRACTION - FROM OUTSIDE VEHICLE,1
2017,FOG/SMOKE/HAZE,DRIVING ON WRONG SIDE/WRONG WAY,1
2017,FOG/SMOKE/HAZE,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,1
2017,FOG/SMOKE/HAZE,EQUIPMENT - VEHICLE CONDITION,1
2017,FOG/SMOKE/HAZE,EXCEEDING AUTHORIZED SPEED LIMIT,1
2017,FOG/SMOKE/HAZE,EXCEEDING SAFE SPEED FOR CONDITIONS,2
2017,FOG/SMOKE/HAZE,FAILING TO REDUCE SPEED TO AVOID CRASH,10
2017,FOG/SMOKE/HAZE,FAILING TO YIELD RIGHT-OF-WAY,12
2017,FOG/SMOKE/HAZE,FOLLOWING TOO CLOSELY,20
2017,FOG/SMOKE/HAZE,IMPROPER BACKING,3
2017,FOG/SMOKE/HAZE,IMPROPER LANE USAGE,4
2017,FOG/SMOKE/HAZE,IMPROPER OVERTAKING/PASSING,5
2017,FOG/SMOKE/HAZE,IMPROPER TURNING/NO SIGNAL,1
2017,FOG/SMOKE/HAZE,NOT APPLICABLE,3
2017,FOG/SMOKE/HAZE,"OPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS, NEGLIGENT OR AGGRESSIVE MANNER",2
2017,FOG/SMOKE/HAZE,UNABLE TO DETERMINE,26
2017,FOG/SMOKE/HAZE,WEATHER,4
2017,OTHER,DISREGARDING ROAD MARKINGS,1
2017,OTHER,DISREGARDING TRAFFIC SIGNALS,5
2017,OTHER,DISTRACTION - FROM INSIDE VEHICLE,5
2017,OTHER,DISTRACTION - FROM OUTSIDE VEHICLE,3
2017,OTHER,DRIVING ON WRONG SIDE/WRONG WAY,1
2017,OTHER,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,9
2017,OTHER,EQUIPMENT - VEHICLE CONDITION,1
2017,OTHER,"EVASIVE ACTION DUE TO ANIMAL, OBJECT, NONMOTORIST",1
2017,OTHER,EXCEEDING AUTHORIZED SPEED LIMIT,3
2017,OTHER,EXCEEDING SAFE SPEED FOR CONDITIONS,1
2017,OTHER,FAILING TO REDUCE SPEED TO AVOID CRASH,13
2017,OTHER,FAILING TO YIELD RIGHT-OF-WAY,15
2017,OTHER,FOLLOWING TOO CLOSELY,24
2017,OTHER,HAD BEEN DRINKING (USE WHEN ARREST IS NOT MADE),1
2017,OTHER,IMPROPER BACKING,11
2017,OTHER,IMPROPER LANE USAGE,4
2017,OTHER,IMPROPER OVERTAKING/PASSING,8
2017,OTHER,IMPROPER TURNING/NO SIGNAL,7
2017,OTHER,NOT APPLICABLE,18
2017,OTHER,"OPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS, NEGLIGENT OR AGGRESSIVE MANNER",2
2017,OTHER,ROAD ENGINEERING/SURFACE/MARKING DEFECTS,1
2017,OTHER,UNABLE TO DETERMINE,49
2017,OTHER,UNDER THE INFLUENCE OF ALCOHOL/DRUGS (USE WHEN ARREST IS EFFECTED),2
2017,OTHER,"VISION OBSCURED (SIGNS, TREE LIMBS, BUILDINGS, ETC.)",2
2017,OTHER,WEATHER,26
2017,RAIN,ANIMAL,4
2017,RAIN,CELL PHONE USE OTHER THAN TEXTING,10
2017,RAIN,DISREGARDING OTHER TRAFFIC SIGNS,20
2017,RAIN,DISREGARDING ROAD MARKINGS,11
2017,RAIN,DISREGARDING STOP SIGN,109
2017,RAIN,DISREGARDING TRAFFIC SIGNALS,128
2017,RAIN,DISREGARDING YIELD SIGN,4
2017,RAIN,DISTRACTION - FROM INSIDE VEHICLE,48
2017,RAIN,DISTRACTION - FROM OUTSIDE VEHICLE,30
2017,RAIN,"DISTRACTION - OTHER ELECTRONIC DEVICE (NAVIGATION DEVICE, DVD PLAYER, ETC.)",2
2017,RAIN,DRIVING ON WRONG SIDE/WRONG WAY,39
2017,RAIN,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,201
2017,RAIN,EQUIPMENT - VEHICLE CONDITION,39
2017,RAIN,"EVASIVE ACTION DUE TO ANIMAL, OBJECT, NONMOTORIST",10
2017,RAIN,EXCEEDING AUTHORIZED SPEED LIMIT,50
2017,RAIN,EXCEEDING SAFE SPEED FOR CONDITIONS,153
2017,RAIN,FAILING TO REDUCE SPEED TO AVOID CRASH,386
2017,RAIN,FAILING TO YIELD RIGHT-OF-WAY,1072
2017,RAIN,FOLLOWING TOO CLOSELY,1084
2017,RAIN,HAD BEEN DRINKING (USE WHEN ARREST IS NOT MADE),15
2017,RAIN,IMPROPER BACKING,218
2017,RAIN,IMPROPER LANE USAGE,307
2017,RAIN,IMPROPER OVERTAKING/PASSING,323
2017,RAIN,IMPROPER TURNING/NO SIGNAL,233
2017,RAIN,NOT APPLICABLE,331
2017,RAIN,"OPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS, NEGLIGENT OR AGGRESSIVE MANNER",75
2017,RAIN,PHYSICAL CONDITION OF DRIVER,24
2017,RAIN,ROAD CONSTRUCTION/MAINTENANCE,21
2017,RAIN,ROAD ENGINEERING/SURFACE/MARKING DEFECTS,30
2017,RAIN,TEXTING,3
2017,RAIN,TURNING RIGHT ON RED,2
2017,RAIN,UNABLE TO DETERMINE,2585
2017,RAIN,UNDER THE INFLUENCE OF ALCOHOL/DRUGS (USE WHEN ARREST IS EFFECTED),31
2017,RAIN,"VISION OBSCURED (SIGNS, TREE LIMBS, BUILDINGS, ETC.)",40
2017,RAIN,WEATHER,606
2017,SEVERE CROSS WIND GATE,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,1
2017,SEVERE CROSS WIND GATE,EQUIPMENT - VEHICLE CONDITION,1
2017,SEVERE CROSS WIND GATE,FAILING TO REDUCE SPEED TO AVOID CRASH,3
2017,SEVERE CROSS WIND GATE,FAILING TO YIELD RIGHT-OF-WAY,2
2017,SEVERE CROSS WIND GATE,FOLLOWING TOO CLOSELY,1
2017,SEVERE CROSS WIND GATE,IMPROPER LANE USAGE,1
2017,SEVERE CROSS WIND GATE,IMPROPER OVERTAKING/PASSING,2
2017,SEVERE CROSS WIND GATE,IMPROPER TURNING/NO SIGNAL,1
2017,SEVERE CROSS WIND GATE,NOT APPLICABLE,1
2017,SEVERE CROSS WIND GATE,UNABLE TO DETERMINE,2
2017,SEVERE CROSS WIND GATE,WEATHER,2
2017,SLEET/HAIL,CELL PHONE USE OTHER THAN TEXTING,1
2017,SLEET/HAIL,DISREGARDING STOP SIGN,1
2017,SLEET/HAIL,DISREGARDING TRAFFIC SIGNALS,1
2017,SLEET/HAIL,DISTRACTION - FROM INSIDE VEHICLE,1
2017,SLEET/HAIL,EXCEEDING AUTHORIZED SPEED LIMIT,3
2017,SLEET/HAIL,FAILING TO REDUCE SPEED TO AVOID CRASH,3
2017,SLEET/HAIL,FAILING TO YIELD RIGHT-OF-WAY,3
2017,SLEET/HAIL,FOLLOWING TOO CLOSELY,8
2017,SLEET/HAIL,IMPROPER BACKING,1
2017,SLEET/HAIL,IMPROPER OVERTAKING/PASSING,3
2017,SLEET/HAIL,IMPROPER TURNING/NO SIGNAL,3
2017,SLEET/HAIL,NOT APPLICABLE,1
2017,SLEET/HAIL,"OPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS, NEGLIGENT OR AGGRESSIVE MANNER",1
2017,SLEET/HAIL,PHYSICAL CONDITION OF DRIVER,2
2017,SLEET/HAIL,UNABLE TO DETERMINE,24
2017,SLEET/HAIL,"VISION OBSCURED (SIGNS, TREE LIMBS, BUILDINGS, ETC.)",2
2017,SLEET/HAIL,WEATHER,20
2017,SNOW,ANIMAL,1
2017,SNOW,CELL PHONE USE OTHER THAN TEXTING,2
2017,SNOW,DISREGARDING OTHER TRAFFIC SIGNS,5
2017,SNOW,DISREGARDING ROAD MARKINGS,2
2017,SNOW,DISREGARDING STOP SIGN,20
2017,SNOW,DISREGARDING TRAFFIC SIGNALS,19
2017,SNOW,DISREGARDING YIELD SIGN,2
2017,SNOW,DISTRACTION - FROM INSIDE VEHICLE,8
2017,SNOW,DISTRACTION - FROM OUTSIDE VEHICLE,7
2017,SNOW,DRIVING ON WRONG SIDE/WRONG WAY,9
2017,SNOW,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,51
2017,SNOW,EQUIPMENT - VEHICLE CONDITION,11
2017,SNOW,"EVASIVE ACTION DUE TO ANIMAL, OBJECT, NONMOTORIST",3
2017,SNOW,EXCEEDING AUTHORIZED SPEED LIMIT,15
2017,SNOW,EXCEEDING SAFE SPEED FOR CONDITIONS,79
2017,SNOW,FAILING TO REDUCE SPEED TO AVOID CRASH,66
2017,SNOW,FAILING TO YIELD RIGHT-OF-WAY,165
2017,SNOW,FOLLOWING TOO CLOSELY,236
2017,SNOW,IMPROPER BACKING,45
2017,SNOW,IMPROPER LANE USAGE,41
2017,SNOW,IMPROPER OVERTAKING/PASSING,60
2017,SNOW,IMPROPER TURNING/NO SIGNAL,43
2017,SNOW,NOT APPLICABLE,77
2017,SNOW,"OPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS, NEGLIGENT OR AGGRESSIVE MANNER",12
2017,SNOW,PHYSICAL CONDITION OF DRIVER,15
2017,SNOW,ROAD CONSTRUCTION/MAINTENANCE,1
2017,SNOW,ROAD ENGINEERING/SURFACE/MARKING DEFECTS,3
2017,SNOW,TEXTING,1
2017,SNOW,TURNING RIGHT ON RED,2
2017,SNOW,UNABLE TO DETERMINE,568
2017,SNOW,UNDER THE INFLUENCE OF ALCOHOL/DRUGS (USE WHEN ARREST IS EFFECTED),10
2017,SNOW,"VISION OBSCURED (SIGNS, TREE LIMBS, BUILDINGS, ETC.)",5
2017,SNOW,WEATHER,416
2017,UNKNOWN,ANIMAL,1
2017,UNKNOWN,CELL PHONE USE OTHER THAN TEXTING,3
2017,UNKNOWN,DISREGARDING OTHER TRAFFIC SIGNS,2
2017,UNKNOWN,DISREGARDING ROAD MARKINGS,1
2017,UNKNOWN,DISREGARDING STOP SIGN,15
2017,UNKNOWN,DISREGARDING TRAFFIC SIGNALS,18
2017,UNKNOWN,DISTRACTION - FROM INSIDE VEHICLE,5
2017,UNKNOWN,DISTRACTION - FROM OUTSIDE VEHICLE,5
2017,UNKNOWN,DRIVING ON WRONG SIDE/WRONG WAY,11
2017,UNKNOWN,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,70
2017,UNKNOWN,EQUIPMENT - VEHICLE CONDITION,3
2017,UNKNOWN,"EVASIVE ACTION DUE TO ANIMAL, OBJECT, NONMOTORIST",4
2017,UNKNOWN,EXCEEDING AUTHORIZED SPEED LIMIT,11
2017,UNKNOWN,EXCEEDING SAFE SPEED FOR CONDITIONS,1
2017,UNKNOWN,FAILING TO REDUCE SPEED TO AVOID CRASH,69
2017,UNKNOWN,FAILING TO YIELD RIGHT-OF-WAY,109
2017,UNKNOWN,FOLLOWING TOO CLOSELY,151
2017,UNKNOWN,HAD BEEN DRINKING (USE WHEN ARREST IS NOT MADE),3
2017,UNKNOWN,IMPROPER BACKING,99
2017,UNKNOWN,IMPROPER LANE USAGE,60
2017,UNKNOWN,IMPROPER OVERTAKING/PASSING,70
2017,UNKNOWN,IMPROPER TURNING/NO SIGNAL,45
2017,UNKNOWN,NOT APPLICABLE,243
2017,UNKNOWN,"OPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS, NEGLIGENT OR AGGRESSIVE MANNER",32
2017,UNKNOWN,PHYSICAL CONDITION OF DRIVER,4
2017,UNKNOWN,ROAD CONSTRUCTION/MAINTENANCE,1
2017,UNKNOWN,ROAD ENGINEERING/SURFACE/MARKING DEFECTS,9
2017,UNKNOWN,TURNING RIGHT ON RED,1
2017,UNKNOWN,UNABLE TO DETERMINE,2013
2017,UNKNOWN,"VISION OBSCURED (SIGNS, TREE LIMBS, BUILDINGS, ETC.)",2
2017,UNKNOWN,WEATHER,7
2018,CLEAR,ANIMAL,81
2018,CLEAR,BICYCLE ADVANCING LEGALLY ON RED LIGHT,25
2018,CLEAR,CELL PHONE USE OTHER THAN TEXTING,130
2018,CLEAR,DISREGARDING OTHER TRAFFIC SIGNS,220
2018,CLEAR,DISREGARDING ROAD MARKINGS,159
2018,CLEAR,DISREGARDING STOP SIGN,1003
2018,CLEAR,DISREGARDING TRAFFIC SIGNALS,1750
2018,CLEAR,DISREGARDING YIELD SIGN,34
2018,CLEAR,DISTRACTION - FROM INSIDE VEHICLE,744
2018,CLEAR,DISTRACTION - FROM OUTSIDE VEHICLE,476
2018,CLEAR,"DISTRACTION - OTHER ELECTRONIC DEVICE (NAVIGATION DEVICE, DVD PLAYER, ETC.)",49
2018,CLEAR,DRIVING ON WRONG SIDE/WRONG WAY,426
2018,CLEAR,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,2952
2018,CLEAR,EQUIPMENT - VEHICLE CONDITION,607
2018,CLEAR,"EVASIVE ACTION DUE TO ANIMAL, OBJECT, NONMOTORIST",187
2018,CLEAR,EXCEEDING AUTHORIZED SPEED LIMIT,634
2018,CLEAR,EXCEEDING SAFE SPEED FOR CONDITIONS,308
2018,CLEAR,FAILING TO REDUCE SPEED TO AVOID CRASH,3986
2018,CLEAR,FAILING TO YIELD RIGHT-OF-WAY,11378
2018,CLEAR,FOLLOWING TOO CLOSELY,10353
2018,CLEAR,HAD BEEN DRINKING (USE WHEN ARREST IS NOT MADE),107
2018,CLEAR,IMPROPER BACKING,4430
2018,CLEAR,IMPROPER LANE USAGE,4177
2018,CLEAR,IMPROPER OVERTAKING/PASSING,4845
2018,CLEAR,IMPROPER TURNING/NO SIGNAL,3436
2018,CLEAR,MOTORCYCLE ADVANCING LEGALLY ON RED LIGHT,5
2018,CLEAR,NOT APPLICABLE,5036
2018,CLEAR,"OPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS, NEGLIGENT OR AGGRESSIVE MANNER",1298
2018,CLEAR,PASSING STOPPED SCHOOL BUS,13
2018,CLEAR,PHYSICAL CONDITION OF DRIVER,621
2018,CLEAR,ROAD CONSTRUCTION/MAINTENANCE,290
2018,CLEAR,ROAD ENGINEERING/SURFACE/MARKING DEFECTS,280
2018,CLEAR,TEXTING,48
2018,CLEAR,TURNING RIGHT ON RED,65
2018,CLEAR,UNABLE TO DETERMINE,31928
2018,CLEAR,UNDER THE INFLUENCE OF ALCOHOL/DRUGS (USE WHEN ARREST IS EFFECTED),529
2018,CLEAR,"VISION OBSCURED (SIGNS, TREE LIMBS, BUILDINGS, ETC.)",630
2018,CLEAR,WEATHER,256
2018,CLOUDY/OVERCAST,ANIMAL,5
2018,CLOUDY/OVERCAST,CELL PHONE USE OTHER THAN TEXTING,5
2018,CLOUDY/OVERCAST,DISREGARDING OTHER TRAFFIC SIGNS,7
2018,CLOUDY/OVERCAST,DISREGARDING ROAD MARKINGS,7
2018,CLOUDY/OVERCAST,DISREGARDING STOP SIGN,52
2018,CLOUDY/OVERCAST,DISREGARDING TRAFFIC SIGNALS,99
2018,CLOUDY/OVERCAST,DISREGARDING YIELD SIGN,3
2018,CLOUDY/OVERCAST,DISTRACTION - FROM INSIDE VEHICLE,39
2018,CLOUDY/OVERCAST,DISTRACTION - FROM OUTSIDE VEHICLE,27
2018,CLOUDY/OVERCAST,"DISTRACTION - OTHER ELECTRONIC DEVICE (NAVIGATION DEVICE, DVD PLAYER, ETC.)",3
2018,CLOUDY/OVERCAST,DRIVING ON WRONG SIDE/WRONG WAY,18
2018,CLOUDY/OVERCAST,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,152
2018,CLOUDY/OVERCAST,EQUIPMENT - VEHICLE CONDITION,32
2018,CLOUDY/OVERCAST,"EVASIVE ACTION DUE TO ANIMAL, OBJECT, NONMOTORIST",3
2018,CLOUDY/OVERCAST,EXCEEDING AUTHORIZED SPEED LIMIT,28
2018,CLOUDY/OVERCAST,EXCEEDING SAFE SPEED FOR CONDITIONS,36
2018,CLOUDY/OVERCAST,FAILING TO REDUCE SPEED TO AVOID CRASH,163
2018,CLOUDY/OVERCAST,FAILING TO YIELD RIGHT-OF-WAY,594
2018,CLOUDY/OVERCAST,FOLLOWING TOO CLOSELY,411
2018,CLOUDY/OVERCAST,HAD BEEN DRINKING (USE WHEN ARREST IS NOT MADE),6
2018,CLOUDY/OVERCAST,IMPROPER BACKING,178
2018,CLOUDY/OVERCAST,IMPROPER LANE USAGE,156
2018,CLOUDY/OVERCAST,IMPROPER OVERTAKING/PASSING,197
2018,CLOUDY/OVERCAST,IMPROPER TURNING/NO SIGNAL,138
2018,CLOUDY/OVERCAST,NOT APPLICABLE,141
2018,CLOUDY/OVERCAST,"OPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS, NEGLIGENT OR AGGRESSIVE MANNER",61
2018,CLOUDY/OVERCAST,PASSING STOPPED SCHOOL BUS,2
2018,CLOUDY/OVERCAST,PHYSICAL CONDITION OF DRIVER,26
2018,CLOUDY/OVERCAST,ROAD CONSTRUCTION/MAINTENANCE,18
2018,CLOUDY/OVERCAST,ROAD ENGINEERING/SURFACE/MARKING DEFECTS,13
2018,CLOUDY/OVERCAST,TURNING RIGHT ON RED,2
2018,CLOUDY/OVERCAST,UNABLE TO DETERMINE,1095
2018,CLOUDY/OVERCAST,UNDER THE INFLUENCE OF ALCOHOL/DRUGS (USE WHEN ARREST IS EFFECTED),22
2018,CLOUDY/OVERCAST,"VISION OBSCURED (SIGNS, TREE LIMBS, BUILDINGS, ETC.)",35
2018,CLOUDY/OVERCAST,WEATHER,47
2018,FOG/SMOKE/HAZE,ANIMAL,1
2018,FOG/SMOKE/HAZE,CELL PHONE USE OTHER THAN TEXTING,1
2018,FOG/SMOKE/HAZE,DISREGARDING OTHER TRAFFIC SIGNS,2
2018,FOG/SMOKE/HAZE,DISREGARDING STOP SIGN,10
2018,FOG/SMOKE/HAZE,DISREGARDING TRAFFIC SIGNALS,12
2018,FOG/SMOKE/HAZE,DISTRACTION - FROM INSIDE VEHICLE,3
2018,FOG/SMOKE/HAZE,DISTRACTION - FROM OUTSIDE VEHICLE,1
2018,FOG/SMOKE/HAZE,DRIVING ON WRONG SIDE/WRONG WAY,3
2018,FOG/SMOKE/HAZE,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,10
2018,FOG/SMOKE/HAZE,EQUIPMENT - VEHICLE CONDITION,2
2018,FOG/SMOKE/HAZE,EXCEEDING AUTHORIZED SPEED LIMIT,2
2018,FOG/SMOKE/HAZE,EXCEEDING SAFE SPEED FOR CONDITIONS,5
2018,FOG/SMOKE/HAZE,FAILING TO REDUCE SPEED TO AVOID CRASH,10
2018,FOG/SMOKE/HAZE,FAILING TO YIELD RIGHT-OF-WAY,40
2018,FOG/SMOKE/HAZE,FOLLOWING TOO CLOSELY,37
2018,FOG/SMOKE/HAZE,IMPROPER BACKING,12
2018,FOG/SMOKE/HAZE,IMPROPER LANE USAGE,18
2018,FOG/SMOKE/HAZE,IMPROPER OVERTAKING/PASSING,21
2018,FOG/SMOKE/HAZE,IMPROPER TURNING/NO SIGNAL,10
2018,FOG/SMOKE/HAZE,NOT APPLICABLE,24
2018,FOG/SMOKE/HAZE,"OPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS, NEGLIGENT OR AGGRESSIVE MANNER",14
2018,FOG/SMOKE/HAZE,PHYSICAL CONDITION OF DRIVER,4
2018,FOG/SMOKE/HAZE,ROAD ENGINEERING/SURFACE/MARKING DEFECTS,2
2018,FOG/SMOKE/HAZE,UNABLE TO DETERMINE,102
2018,FOG/SMOKE/HAZE,UNDER THE INFLUENCE OF ALCOHOL/DRUGS (USE WHEN ARREST IS EFFECTED),3
2018,FOG/SMOKE/HAZE,"VISION OBSCURED (SIGNS, TREE LIMBS, BUILDINGS, ETC.)",1
2018,FOG/SMOKE/HAZE,WEATHER,27
2018,OTHER,ANIMAL,1
2018,OTHER,BICYCLE ADVANCING LEGALLY ON RED LIGHT,1
2018,OTHER,DISREGARDING OTHER TRAFFIC SIGNS,1
2018,OTHER,DISREGARDING ROAD MARKINGS,1
2018,OTHER,DISREGARDING STOP SIGN,5
2018,OTHER,DISREGARDING TRAFFIC SIGNALS,7
2018,OTHER,DISTRACTION - FROM INSIDE VEHICLE,4
2018,OTHER,DISTRACTION - FROM OUTSIDE VEHICLE,5
2018,OTHER,DRIVING ON WRONG SIDE/WRONG WAY,3
2018,OTHER,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,17
2018,OTHER,EQUIPMENT - VEHICLE CONDITION,3
2018,OTHER,"EVASIVE ACTION DUE TO ANIMAL, OBJECT, NONMOTORIST",1
2018,OTHER,EXCEEDING AUTHORIZED SPEED LIMIT,9
2018,OTHER,EXCEEDING SAFE SPEED FOR CONDITIONS,9
2018,OTHER,FAILING TO REDUCE SPEED TO AVOID CRASH,23
2018,OTHER,FAILING TO YIELD RIGHT-OF-WAY,44
2018,OTHER,FOLLOWING TOO CLOSELY,26
2018,OTHER,IMPROPER BACKING,13
2018,OTHER,IMPROPER LANE USAGE,14
2018,OTHER,IMPROPER OVERTAKING/PASSING,9
2018,OTHER,IMPROPER TURNING/NO SIGNAL,10
2018,OTHER,NOT APPLICABLE,17
2018,OTHER,"OPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS, NEGLIGENT OR AGGRESSIVE MANNER",9
2018,OTHER,PHYSICAL CONDITION OF DRIVER,3
2018,OTHER,ROAD CONSTRUCTION/MAINTENANCE,2
2018,OTHER,ROAD ENGINEERING/SURFACE/MARKING DEFECTS,3
2018,OTHER,UNABLE TO DETERMINE,117
2018,OTHER,UNDER THE INFLUENCE OF ALCOHOL/DRUGS (USE WHEN ARREST IS EFFECTED),5
2018,OTHER,"VISION OBSCURED (SIGNS, TREE LIMBS, BUILDINGS, ETC.)",5
2018,OTHER,WEATHER,50
2018,RAIN,ANIMAL,7
2018,RAIN,BICYCLE ADVANCING LEGALLY ON RED LIGHT,3
2018,RAIN,CELL PHONE USE OTHER THAN TEXTING,13
2018,RAIN,DISREGARDING OTHER TRAFFIC SIGNS,28
2018,RAIN,DISREGARDING ROAD MARKINGS,17
2018,RAIN,DISREGARDING STOP SIGN,156
2018,RAIN,DISREGARDING TRAFFIC SIGNALS,235
2018,RAIN,DISREGARDING YIELD SIGN,3
2018,RAIN,DISTRACTION - FROM INSIDE VEHICLE,55
2018,RAIN,DISTRACTION - FROM OUTSIDE VEHICLE,43
2018,RAIN,"DISTRACTION - OTHER ELECTRONIC DEVICE (NAVIGATION DEVICE, DVD PLAYER, ETC.)",4
2018,RAIN,DRIVING ON WRONG SIDE/WRONG WAY,64
2018,RAIN,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,276
2018,RAIN,EQUIPMENT - VEHICLE CONDITION,78
